2018/10/02/14:03:26.666762;;;497;-1887;15681;-26;-42;-38;-578;-189;1202;238;227;31;0
2018/10/02/14:03:26.682759;;;529;-1967;15777;38;-64;68;-616;-196;1168;50;228;31;0
2018/10/02/14:03:26.695755;;;769;-1759;16097;-30;50;-30;-616;-196;1168;118;228;31;0
2018/10/02/14:03:26.707763;;;417;-1919;15889;16;34;124;-578;-183;1189;186;228;31;0
2018/10/02/14:03:26.719766;;;705;-2047;16385;-64;16;-6;-578;-183;1189;254;228;31;0
2018/10/02/14:03:26.735756;;;465;-1999;16017;14;70;178;-610;-183;1175;83;229;31;0
2018/10/02/14:03:26.748764;;;385;-1855;15777;50;22;4;-610;-183;1175;151;229;31;0
2018/10/02/14:03:26.760689;;;273;-2015;15985;-18;88;-50;-610;-183;1175;219;229;31;0
2018/10/02/14:03:26.772760;;;369;-1935;15873;4;-62;-108;-565;-169;1182;31;230;31;0
2018/10/02/14:03:26.789746;;;289;-1823;15745;-20;-106;-52;-565;-169;1182;99;230;31;0
2018/10/02/14:03:26.801778;;;289;-1823;15761;-18;-16;40;-603;-143;1189;167;230;31;0
2018/10/02/14:03:26.813759;;;257;-1743;15681;38;136;-120;-603;-143;1189;235;230;31;0
2018/10/02/14:03:26.826765;;;321;-1759;15905;12;42;30;-603;-143;1189;47;231;31;0
2018/10/02/14:03:26.838764;;;273;-1855;15761;64;76;-50;-629;-176;1155;115;231;31;0
2018/10/02/14:03:26.854759;;;257;-1855;15953;34;-2;-114;-629;-176;1155;183;231;31;0
2018/10/02/14:03:26.867768;;;353;-1871;16129;-8;-48;56;-629;-176;1155;251;231;31;0
2018/10/02/14:03:26.879769;;;497;-1695;16065;-4;-62;-204;-623;-143;1189;63;232;31;0
2018/10/02/14:03:26.891755;;;337;-1791;15969;-16;14;-36;-623;-143;1189;131;232;31;0
2018/10/02/14:03:26.907701;;;289;-1919;16033;-100;2;100;-629;-150;1182;199;232;31;0
2018/10/02/14:03:26.920691;;;193;-1711;16097;-10;4;-44;-629;-150;1182;11;233;31;0
2018/10/02/14:03:26.932760;;;385;-2079;16081;-10;26;-90;-629;-150;1182;79;233;31;0
2018/10/02/14:03:26.944757;;;401;-1951;15985;-52;22;42;-623;-169;1141;164;233;31;0
2018/10/02/14:03:26.961768;;;305;-1983;15761;-2;68;34;-623;-169;1141;232;233;31;0
2018/10/02/14:03:26.973762;;;257;-1999;16017;-34;70;0;-565;-137;1141;44;234;31;0
2018/10/02/14:03:26.985778;;;273;-1839;15921;10;52;-6;-565;-137;1141;112;234;31;0
2018/10/02/14:03:26.998778;;;113;-1663;15857;-10;12;70;-597;-163;1202;180;234;31;0
2018/10/02/14:03:27.014755;;;209;-1775;15665;-110;92;32;-597;-163;1202;248;234;31;0
2018/10/02/14:03:27.026773;;;193;-1663;15809;46;-34;40;-597;-163;1202;60;235;31;0
2018/10/02/14:03:27.039768;;;193;-1935;15697;10;24;6;-578;-137;1182;128;235;31;0
2018/10/02/14:03:27.051757;;;1;-1919;15521;-28;34;60;-578;-137;1182;196;235;31;0
2018/10/02/14:03:27.067742;;;209;-1839;15569;-44;-34;-148;-578;-137;1182;8;236;31;0
2018/10/02/14:03:27.080706;;;257;-1807;15617;36;70;-8;-584;-176;1162;76;236;31;0
2018/10/02/14:03:27.092761;;;273;-1967;15745;-70;-30;34;-584;-176;1162;144;236;31;0
2018/10/02/14:03:27.104756;;;17;-1791;15793;0;78;-12;-603;-169;1168;212;236;31;0
2018/10/02/14:03:27.120678;;;177;-1727;15793;10;-60;94;-603;-169;1168;24;237;31;0
2018/10/02/14:03:27.133762;;;161;-1791;15777;-90;-42;18;-603;-169;1168;92;237;31;0
2018/10/02/14:03:27.145758;;;145;-1791;15729;-22;-80;62;-584;-150;1182;177;237;31;0
2018/10/02/14:03:27.157772;;;417;-1903;15873;28;-36;-78;-584;-150;1182;245;237;31;0
2018/10/02/14:03:27.170688;;;529;-1775;15649;36;-66;-90;-578;-183;1148;57;238;31;0
2018/10/02/14:03:27.186710;;;593;-1855;16017;-28;-84;154;-578;-183;1148;125;238;31;0
2018/10/02/14:03:27.198772;;;737;-1967;15793;-54;-2;-68;-610;-169;1182;193;238;31;0
2018/10/02/14:03:27.211770;;;513;-2191;16193;-52;-62;-30;-610;-169;1182;5;239;31;0
2018/10/02/14:03:27.223754;;;561;-2175;16081;-78;-56;4;-610;-169;1182;73;239;31;0
2018/10/02/14:03:27.239769;;;369;-2319;16129;-34;-144;-28;-584;-183;1189;141;239;31;0
